"filename";"loglik";"rho";"p";"sigma";"mu"
"joined_24336569.0.csv";"-14658.881189253";"0.234893276457492";"0.801351293651625";"2.69012681211078";"1.40086134389296"
"joined_24336569.0.csv";"-14658.881189253";"0.234893276457492";"0.801351293651625";"2.69012681211078";"1.40086134389296"
"joined_24336571.0.csv";"-9901.38216139513";"0.182554696372833";"0.995428751701958";"3.49510071006621";"1.79785861188402"
"joined_24717434.0.csv";"41.6384782003264";"0.400000000000022";"1";"1.83183710794809";"0.00138762731019245"
"joined_25494202.0.csv";"31.3424644698323";"0.0285423296924926";"1";"3.21077319928398";"0.160231500340075"
"joined_26472758.0.csv";"-63581.5954554752";"0.272580534842804";"0.833269449314646";"2.86242103534105";"1.40493586120222"
"joined_26627737.0.csv";"-16392.5409627339";"0.324573581597784";"0.88204752934563";"3.21319567549744";"1.43230684453039"
"joined_26780180.0.csv";"-242468.091188009";"0.493948483212141";"0.880231073399015";"3.10176736805875";"1.44152304374467"
"joined_27013184.0.csv";"-1983.65750016182";"0.0869888077034596";"1";"10.236931144515";"3.87068615652151"
"joined_27260156.0.csv";"-16845.2676758987";"0.711901226027058";"1";"6.84066417982967";"1.73692046021703"
"joined_27260157.0.csv";"-7627.06894519895";"0.623986640705131";"1";"8.98540253475313";"2.56603736695416"
"joined_27383988.0.csv";"-7627.06894519895";"0.623986640705131";"1";"8.98540253475313";"2.56603736695416"
"joined_27453484.0.csv";"-278669.775325486";"0.256394777126233";"0.999999999898036";"5.88078197017768";"2.10737050413502"
"joined_27661255.0.csv";"-8392.50272635276";"0.208488215562206";"0.980792723483536";"11.018223635203";"4.95054999970816"
"joined_27760321.0.csv";"-8392.50272635276";"0.208488215562206";"0.980792723483536";"11.018223635203";"4.95054999970816"
"joined_27869803.0.csv";"-17645.0058652567";"0.513428846007226";"0.999881279581116";"4.95254515928522";"1.85761101732547"
"joined_28145866.0.csv";"-18116.5659335452";"0.252753131143804";"0.997479157512601";"4.77956063845757";"1.79996760801097"
"joined_28162770.0.csv";"-62563.4512305325";"0.386117193556067";"0.852203980299276";"3.0693470995323";"1.37448274570466"
"joined_28162770.csv";"-62563.4512305325";"0.386117193556067";"0.852203980299276";"3.0693470995323";"1.37448274570466"
"joined_28700943.0.csv";"-22343.554725208";"0.582541380052478";"1";"7.83287678895743";"2.52723075102985"
